0,6,60,硅
0,29,60,硅
0,48,60,宝
0,383,60,硅
0,449,60,硅
0,453,60,硅
125,305,58,硅
125,401,58,硅
125,592,58,硅
126,333,58,硅
126,404,58,硅
126,447,58,硅
130,59,58,硅
130,534,58,硅
130,595,58,硅
131,160,58,硅
131,235,58,硅
132,47,58,铜
133,11,66,硅
133,379,62,硅
133,589,62,硅
134,27,58,硅
134,32,60,铜
135,64,60,铜
135,97,60,铜
137,33,58,铜
137,71,60,铜
138,12,62,硅
138,294,68,硅
139,72,58,硅
500,240,58,铜
514,21,58,硅
514,256,58,硅
515,71,58,硅
515,179,58,硅
515,311,58,硅
515,435,58,硅
516,374,58,硅
518,497,58,硅
519,264,58,硅
519,450,58,硅
127,256,60,宝
127,278,58,硅
127,489,58,硅
129,380,58,硅
