x,y,level,type
40,99,60,铁
40,132,60,油
40,179,58,铜
40,181,58,宝
40,184,58,铜
40,192,58,铁
40,271,58,铁
40,296,58,宝
40,310,60,硅
40,373,60,硅
40,387,60,宝
40,396,58,铁
40,400,60,油
40,408,60,铁
40,414,58,宝
40,426,60,宝
40,443,58,宝
40,451,60,油
40,495,58,油
40,548,58,油
41,25,58,宝
41,51,58,铜
41,103,58,油
41,128,58,宝
41,145,58,铜
41,240,60,油
41,310,60,铁
41,366,60,宝
41,390,60,硅
41,411,58,宝
41,450,60,硅
41,495,60,硅
41,507,58,油
41,509,58,宝
41,561,60,油
42,29,60,宝
42,30,60,宝
42,41,58,油
42,45,58,铁
42,47,62,铜
42,79,60,油
42,99,58,铜
42,114,58,铜
42,141,58,铁
42,149,60,铁
42,226,66,宝
42,247,58,铁
42,295,58,铁
42,336,60,油
42,368,58,油
42,371,60,硅
42,373,58,铜
42,377,58,铜
42,417,60,铁
42,459,58,铁
42,540,58,宝
42,544,58,油
42,575,58,宝
43,1,60,宝
43,24,60,油
43,132,58,铜
43,183,60,铁
43,191,58,宝
43,202,60,宝
43,229,60,油
43,233,62,硅
43,238,58,铜
43,312,58,油
43,319,58,油
43,335,58,铜
43,386,58,宝
43,393,58,宝
43,439,58,铁
43,440,58,铁
43,442,60,硅
43,457,58,铁
43,480,60,宝
43,499,60,油
43,592,58,宝
44,4,60,油
44,34,60,铁
44,43,58,铁
44,72,60,油
44,126,60,宝
44,155,60,宝
44,170,60,油
44,222,60,宝
44,227,58,油
44,257,60,铁
44,272,58,宝
44,280,58,铜
44,320,60,油
44,354,58,宝
44,368,58,铁
44,391,60,铁
44,423,60,硅
44,470,60,宝
44,477,58,铜
44,512,58,铜
44,522,58,铜
44,592,60,铁
45,31,58,铁
45,50,60,硅
45,67,58,油
45,69,70,硅
45,121,58,宝
45,196,58,铁
45,200,58,铜
45,212,58,铜
45,235,58,铁
45,243,60,铁
45,247,58,宝
45,295,58,宝
45,305,58,油
45,356,60,宝
45,434,60,宝
45,472,58,铜
45,548,58,铁
45,556,58,宝
45,582,58,铁
46,52,58,硅
46,54,58,油
46,55,60,铁
46,91,58,宝
46,108,58,宝
46,127,58,宝
46,156,60,硅
46,199,58,铁
46,262,60,硅
46,276,60,油
46,297,60,铁
46,348,60,硅
46,351,60,宝
46,375,60,铜
46,428,58,硅
46,441,58,油
46,446,58,油
46,468,60,油
46,491,60,油
46,514,58,铜
46,534,58,宝
46,536,58,铁
46,585,58,铁
46,586,60,硅
47,3,58,铁
47,18,60,铁
47,28,58,铜
47,32,58,宝
47,67,58,油
47,86,58,宝
47,102,58,铁
47,115,60,油
47,140,58,铁
47,165,60,铁
47,219,58,宝
47,248,60,油
47,299,60,宝
47,305,58,硅
47,331,58,铜
47,354,60,铜
47,391,58,宝
47,425,58,铜
47,426,60,宝
47,439,60,铁
47,446,58,硅
47,452,60,油
47,482,58,油
47,496,60,宝
47,556,58,硅
47,583,58,油
47,595,60,铁
48,1,58,油
48,4,58,硅
48,8,60,铜
48,39,62,硅
48,95,60,硅
48,101,58,宝
48,152,60,铜
48,189,58,油
48,214,60,油
48,247,60,铜
48,282,58,硅
48,302,58,铁
48,311,60,油
48,323,58,铁
48,329,60,宝
48,335,58,宝
48,376,58,铁
48,380,58,硅
48,441,60,硅
48,447,60,铜
48,475,58,铁
48,492,60,油
48,518,60,铁
48,528,58,硅
48,546,60,铁
48,550,60,铁
49,27,58,铜
49,36,62,硅
49,57,58,硅
49,75,60,铜
49,89,58,硅
49,105,58,硅
49,115,58,铜
49,146,60,铜
49,151,58,铜
49,165,60,油
49,183,58,油
49,207,60,铁
49,278,58,硅
49,324,60,铁
49,374,60,油
49,382,60,硅
49,385,58,铁
49,401,60,铜
49,454,58,硅
49,476,60,宝
49,563,58,硅
