x,y,level,type
90,49,60,宝
90,50,58,宝
90,108,60,铜
90,121,58,硅
90,158,58,油
90,181,58,油
90,185,58,宝
90,201,60,铜
90,215,58,铜
90,252,58,硅
90,289,60,宝
90,292,58,宝
90,340,60,油
90,351,58,硅
90,361,58,油
90,384,58,宝
90,407,60,硅
90,411,58,铜
90,452,60,铜
90,479,60,铁
90,484,58,铜
90,495,60,铜
90,505,60,硅
90,509,60,铁
90,529,60,铜
90,552,58,铁
90,560,58,宝
90,587,60,铁
91,9,60,宝
91,33,62,宝
91,64,58,油
91,151,60,宝
91,171,60,硅
91,198,58,铁
91,210,60,宝
91,220,60,油
91,227,58,铜
91,351,60,铜
91,358,60,宝
91,361,58,油
91,387,58,铁
91,413,58,铜
91,432,60,铜
91,476,58,宝
91,508,60,油
91,518,58,铜
91,521,58,硅
91,524,58,铁
91,554,58,硅
91,569,60,油
91,584,58,铁
92,18,58,铜
92,37,58,铜
92,43,60,铜
92,44,58,铁
92,85,60,油
92,166,58,铜
92,194,58,铁
92,235,60,硅
92,238,58,铁
92,353,60,铜
92,361,60,铜
92,365,58,铜
92,396,60,宝
92,442,60,宝
92,443,60,硅
92,520,58,铜
93,38,58,铜
93,59,58,宝
93,65,58,铁
93,78,60,油
93,95,60,油
93,106,58,铜
93,109,60,铁
93,117,60,铜
93,163,60,油
93,209,58,油
93,236,60,油
93,254,60,铜
93,267,60,油
93,318,58,铜
93,342,60,硅
93,360,60,油
93,389,58,宝
93,392,58,硅
93,410,60,宝
93,417,58,铜
93,537,60,硅
93,550,60,硅
93,553,58,铜
93,558,58,硅
93,572,58,油
93,590,58,硅
94,65,60,油
94,85,58,宝
94,120,60,铜
94,128,58,硅
94,138,60,铜
94,147,60,油
94,159,58,铜
94,172,60,铜
94,248,60,硅
94,326,58,宝
94,392,58,宝
94,403,62,硅
94,407,60,宝
94,411,58,硅
94,419,60,油
94,446,60,硅
94,448,58,铁
94,459,60,铜
94,466,60,宝
94,471,58,铁
94,516,60,宝
94,524,60,铁
94,531,60,铁
94,547,60,铁
94,578,60,油
95,17,58,硅
95,34,60,宝
95,56,58,宝
95,68,58,宝
95,86,58,硅
95,122,60,铜
95,148,58,宝
95,168,58,宝
95,174,60,铜
95,187,58,硅
95,233,60,铜
95,272,58,油
95,279,60,铁
95,287,58,铁
95,288,60,宝
95,290,58,铜
95,332,58,铜
95,368,60,油
95,484,58,铁
95,515,58,宝
95,519,58,宝
95,556,60,硅
95,569,60,硅
96,57,60,铜
96,113,62,硅
96,139,58,油
96,158,58,铁
96,159,60,铁
96,205,60,硅
96,227,60,油
96,324,60,铜
96,432,60,铜
96,455,58,铁
96,457,60,铜
96,474,60,油
96,509,60,硅
96,542,58,硅
96,546,58,铁
97,20,60,宝
97,32,58,油
97,35,62,硅
97,50,58,油
97,57,60,铁
97,63,58,铁
97,109,60,油
97,135,58,铁
97,138,58,硅
97,143,60,铁
97,148,60,铜
97,149,58,油
97,193,60,硅
97,209,58,油
97,263,58,宝
97,274,58,硅
97,305,62,硅
97,369,58,铜
97,374,58,硅
97,404,60,铁
97,409,60,油
97,485,60,铁
97,512,58,铁
97,559,58,宝
97,591,60,铁
98,4,60,硅
98,19,60,铜
98,31,58,铜
98,46,60,铜
98,53,60,油
98,67,60,宝
98,77,58,宝
98,87,60,油
98,120,60,宝
98,200,58,油
98,357,60,硅
98,377,60,铁
98,381,60,铁
98,385,60,油
98,403,60,铁
98,464,60,铜
98,466,58,油
98,517,58,硅
98,521,60,宝
98,533,60,油
98,537,58,宝
98,538,58,铜
98,552,60,铜
98,555,58,硅
98,558,60,铜
99,23,60,硅
99,32,60,宝
99,45,58,硅
99,79,58,宝
99,117,58,硅
99,177,60,硅
99,188,60,铁
99,219,60,铁
99,299,58,油
99,306,60,宝
99,324,58,油
99,326,60,硅
99,330,58,硅
99,358,58,宝
99,360,58,硅
99,361,60,铜
99,362,58,铁
99,388,60,铁
99,406,58,铜
99,409,58,硅
99,440,58,油
99,530,58,硅
99,541,60,硅
99,553,58,铜
99,559,60,硅
