x,y,level,type
70,73,58,铜
70,82,60,铜
70,88,60,宝
70,132,60,硅
70,141,58,宝
70,145,58,宝
70,161,58,油
70,167,58,铜
70,186,60,铁
70,197,58,油
70,201,58,宝
70,210,58,铜
70,239,58,宝
70,283,60,油
70,327,58,铁
70,332,60,铁
70,338,58,硅
70,377,58,宝
70,416,58,硅
70,431,60,宝
70,452,60,油
70,461,58,铜
70,466,60,油
70,468,60,铁
70,514,58,油
70,592,58,硅
71,17,60,油
71,61,70,硅
71,65,58,宝
71,128,58,铜
71,179,58,铜
71,249,60,铜
71,254,60,硅
71,270,58,硅
71,288,58,油
71,313,58,油
71,373,60,宝
71,394,58,铁
71,397,58,铁
71,458,58,硅
71,459,60,宝
71,462,58,铜
71,485,58,铁
71,486,58,铁
71,511,60,铁
71,533,60,油
71,571,60,宝
71,580,60,铁
71,589,58,铁
72,25,60,铁
72,43,58,铁
72,59,60,宝
72,162,58,硅
72,217,60,铁
72,231,60,铁
72,252,60,油
72,278,60,铁
72,572,60,铁
73,3,58,宝
73,43,58,铁
73,45,60,铁
73,67,58,铁
73,177,58,铁
73,185,58,铁
73,238,60,硅
73,286,58,铜
73,342,60,油
73,358,60,铁
73,359,60,宝
73,419,58,宝
73,510,60,硅
73,556,58,油
73,564,58,铁
73,580,58,宝
73,597,58,铜
74,59,58,油
74,63,60,宝
74,89,58,油
74,115,60,硅
74,157,58,油
74,201,58,宝
74,211,58,铜
74,371,60,油
74,372,60,油
74,531,60,铁
74,533,60,油
74,541,58,铜
74,578,60,铜
74,594,58,铁
74,599,58,铜
75,61,58,硅
75,186,60,宝
75,196,58,油
75,213,60,铜
75,238,60,宝
75,251,58,宝
75,260,58,硅
75,298,58,铜
75,333,58,硅
75,337,60,油
75,353,58,铁
75,400,58,硅
75,426,58,宝
75,438,58,铜
75,468,60,铜
75,474,60,硅
75,530,60,铜
75,591,60,铜
76,2,58,油
76,50,60,硅
76,64,66,硅
76,65,58,铁
76,72,60,铜
76,95,60,硅
76,127,60,铁
76,134,60,铜
76,199,58,铁
76,233,58,铜
76,240,58,油
76,247,58,油
76,316,58,油
76,343,60,油
76,377,58,铁
76,433,58,铜
76,444,58,油
76,445,58,铁
76,489,58,硅
76,529,58,铜
76,571,58,铜
76,591,60,宝
77,63,60,宝
77,65,60,宝
77,130,60,油
77,134,58,铜
77,146,58,铜
77,273,58,铜
77,308,58,油
77,331,60,铜
77,354,60,铜
77,382,60,油
77,472,60,硅
77,482,60,铜
77,484,58,宝
77,531,58,硅
77,565,60,铜
78,153,60,铜
78,242,58,宝
78,250,58,油
78,290,60,硅
78,316,58,宝
78,352,60,宝
78,484,58,宝
78,489,58,铁
78,543,60,油
78,553,58,宝
78,555,60,铁
79,2,58,宝
79,39,58,铜
79,42,58,宝
79,45,58,宝
79,89,60,铜
79,113,58,油
79,121,58,宝
79,241,58,硅
79,264,60,铁
79,274,58,硅
79,279,60,宝
79,329,58,铜
79,374,58,宝
79,384,60,铁
79,422,58,硅
79,426,58,硅
79,431,60,铁
79,457,58,油
79,465,58,铁
79,476,58,油
79,484,58,硅
79,518,58,油
79,522,60,油
79,539,60,宝
79,562,62,铜
79,565,58,宝
