x,y,level,type
10,7,60,铜
10,29,60,铁
10,32,60,油
10,40,60,铜
10,54,58,铜
10,63,58,铜
10,130,60,油
10,156,60,铜
10,212,58,铜
10,235,60,宝
10,276,60,铁
10,291,60,硅
10,302,58,铁
10,313,58,宝
10,315,64,油
10,339,58,铁
10,342,58,油
10,345,58,硅
10,348,60,油
10,368,60,油
10,369,62,硅
10,403,60,铜
10,403,62,
10,430,58,铁
10,439,58,硅
10,558,60,硅
10,564,60,油
11,20,60,油
11,27,60,铁
11,42,58,宝
11,45,60,铜
11,148,58,油
11,221,58,油
11,298,58,铜
11,312,58,宝
11,397,58,油
11,409,60,铁
11,455,60,硅
11,462,60,宝
11,482,60,铁
11,495,58,宝
11,520,58,油
11,563,58,宝
11,567,60,硅
11,571,60,硅
11,585,58,硅
11,594,58,铁
11,595,58,铜
12,12,58,硅
12,14,60,油
12,61,60,铜
12,86,60,油
12,123,58,铜
12,124,60,宝
12,132,60,油
12,144,58,铁
12,169,60,硅
12,170,58,铁
12,184,58,铁
12,195,70,硅
12,196,66,硅
12,221,60,铜
12,226,58,油
12,253,62,硅
12,264,60,铜
12,279,60,铁
12,343,58,铁
12,373,58,油
12,452,60,宝
12,453,60,铁
12,477,58,硅
13,5,60,铜
13,25,58,油
13,64,68,硅
13,73,60,油
13,110,60,铜
13,111,58,铁
13,134,60,油
13,146,60,硅
13,153,60,硅
13,179,58,油
13,180,58,宝
13,184,58,铜
13,220,60,铁
13,279,64,硅
13,289,58,铁
13,315,58,铜
13,380,58,铁
13,444,60,油
13,502,60,油
13,517,60,铁
13,531,58,硅
13,569,60,铜
13,587,58,宝
14,33,60,硅
14,37,58,硅
14,53,60,油
14,58,58,硅
14,64,58,铜
14,66,62,硅
14,103,60,铜
14,124,58,硅
14,125,58,硅
14,236,58,铁
14,269,60,宝
14,294,60,铁
14,319,62,铁
14,320,60,铁
14,339,58,油
14,350,60,铜
14,354,60,硅
14,370,60,宝
14,413,58,硅
14,425,58,硅
14,426,58,铁
14,448,60,铁
14,523,60,油
14,554,60,油
14,561,60,铜
14,569,58,油
15,18,60,铜
15,24,60,铜
15,35,58,铜
15,42,60,宝
15,87,60,铜
15,91,60,油
15,143,60,宝
15,147,58,铜
15,163,60,宝
15,211,60,硅
15,232,60,铁
15,239,58,油
15,419,58,铜
15,496,60,硅
15,501,58,宝
15,511,58,油
15,518,60,宝
15,535,60,铁
15,562,58,铁
16,15,58,铁
16,18,60,铜
16,24,60,铜
16,35,58,铜
16,37,58,铜
16,42,60,宝
16,48,60,硅
16,50,60,铁
16,87,60,铜
16,91,60,油
16,117,60,宝
16,141,62,宝
16,147,58,铜
16,149,58,铜
16,163,60,宝
16,190,60,铁
16,211,60,硅
16,232,60,铜
16,237,58,铜
16,239,58,油
16,262,60,铜
16,298,60,硅
16,346,60,油
16,419,58,铜
16,426,60,铁
16,462,60,宝
16,501,58,宝
16,513,60,油
16,518,60,宝
16,554,60,宝
16,556,60,铜
17,26,58,铜
17,45,62,宝
17,51,62,宝
17,57,58,油
17,81,60,油
17,120,60,铜
17,186,60,铜
17,219,58,油
17,236,60,硅
17,311,62,硅
17,348,58,铁
17,356,58,铁
17,369,60,油
17,387,58,铜
17,395,58,硅
17,430,58,硅
17,438,58,铁
17,452,60,铜
17,458,58,宝
17,468,60,铁
17,484,58,硅
17,497,58,宝
17,515,60,铜
17,558,60,铜
18,56,60,铁
18,62,60,硅
18,72,58,油
18,117,58,硅
18,120,60,铁
18,131,60,油
18,172,60,宝
18,234,60,硅
18,236,58,硅
18,250,60,铜
18,349,58,油
18,381,58,铜
18,389,58,铜
18,422,60,铜
18,440,60,宝
18,461,60,铁
18,464,60,铜
18,478,60,油
18,495,58,硅
18,517,58,铜
18,536,58,宝
18,544,58,铜
18,552,58,铜
18,566,60,油
19,24,60,铁
19,32,60,铜
19,69,58,铜
19,82,58,油
19,102,58,铜
19,123,60,铁
19,144,58,铜
19,151,58,油
19,209,62,硅
19,214,58,铁
19,224,60,铜
19,263,60,铁
19,269,62,
19,269,62,铜
19,282,60,宝
19,283,58,硅
19,297,60,铜
19,299,60,铜
19,322,60,宝
19,334,60,油
19,337,60,铁
19,384,60,硅
19,441,60,硅
19,519,60,铜
19,530,60,铜
19,572,60,铜
19,582,60,铜
