x,y,level,type
1,101,62,硅
1,104,60,宝
1,105,60,油
1,113,58,铁
1,123,60,油
1,174,60,铁
1,234,60,铁
1,245,60,硅
1,271,58,铜
1,272,58,油
1,285,58,铁
1,324,58,铜
1,328,60,油
1,391,58,硅
1,432,58,宝
1,436,58,铜
1,466,58,油
1,501,58,油
1,545,58,铁
1,565,60,油
2,23,60,宝
2,43,58,铁
2,140,60,铜
2,228,60,油
2,253,60,宝
2,271,62,硅
2,308,66,硅
2,358,60,铜
2,398,58,油
2,402,58,油
2,429,60,油
2,435,60,宝
2,487,60,铁
2,491,58,油
2,513,64,硅
2,551,58,油
2,589,60,油
2,592,60,铜
3,11,58,铜
3,52,58,油
3,65,60,宝
3,86,60,油
3,97,62,宝
3,107,60,铜
3,117,58,油
3,139,60,铜
3,142,60,铜
3,158,58,铜
3,167,58,油
3,178,60,油
3,208,66,硅
3,236,58,油
3,254,58,油
3,258,62,硅
3,311,58,铜
3,360,60,铜
3,385,60,油
3,418,60,铁
3,487,58,油
3,490,58,油
3,493,60,铁
3,504,58,油
3,564,58,宝
3,572,58,宝
3,594,60,铜
4,13,58,铜
4,86,60,铜
4,89,60,硅
4,109,60,铜
4,124,58,硅
4,135,58,油
4,141,60,铜
4,160,58,铜
4,202,60,油
4,205,58,铜
4,339,58,铁
4,380,58,铜
4,381,60,油
4,386,58,铜
4,469,58,铜
4,509,60,铜
4,532,58,宝
5,14,58,油
5,52,58,油
5,95,58,油
5,184,62,宝
5,242,58,铁
5,306,58,硅
5,345,60,铜
5,355,60,硅
5,365,58,油
5,388,58,铜
5,404,58,宝
5,463,58,油
5,494,60,硅
5,496,60,油
5,511,60,铜
5,513,60,油
5,539,62,硅
5,543,60,铁
5,575,60,硅
5,576,58,宝
5,586,60,油
5,588,60,铁
6,3,58,铁
6,31,58,铜
6,146,60,硅
6,171,60,铜
6,176,58,硅
6,222,58,硅
6,227,60,铁
6,234,58,铁
6,245,60,宝
6,288,58,铜
6,306,58,油
6,313,70,宝
6,353,58,硅
6,370,58,铜
6,392,58,硅
6,393,58,油
6,442,64,硅
6,469,60,油
6,484,58,铜
6,489,58,铁
6,491,60,宝
6,527,60,宝
7,5,60,铜
7,13,58,宝
7,48,60,硅
7,71,58,铜
7,118,58,宝
7,143,58,铜
7,146,60,油
7,172,60,铜
7,195,62,硅
7,209,58,硅
7,290,58,铜
7,309,62,铜
7,345,60,宝
7,352,60,硅
7,383,58,铁
7,437,60,铜
7,465,58,宝
7,486,58,铜
7,493,60,硅
8,19,58,油
8,36,60,宝
8,51,58,油
8,64,60,铜
8,103,60,硅
8,105,58,铜
8,152,60,铜
8,185,60,硅
8,204,60,油
8,240,60,油
8,242,58,硅
8,259,58,铁
8,295,64,硅
8,328,58,宝
8,330,58,宝
8,369,62,硅
8,383,60,油
8,445,60,硅
8,489,58,铁
8,551,58,硅
8,562,58,铜
9,22,58,铁
9,49,60,铁
9,50,58,铜
9,66,60,铜
9,73,60,硅
9,103,58,铁
9,107,58,铜
9,109,58,宝
9,140,60,油
9,216,58,铁
9,241,60,油
