x,y,level,type
140,6,60,硅
140,24,58,宝
140,52,60,油
140,103,60,硅
140,112,60,硅
140,142,58,油
140,179,60,宝
140,263,60,硅
140,293,58,宝
140,325,58,油
140,334,58,油
140,341,58,铜
140,440,58,硅
140,446,64,硅
140,469,58,油
140,494,58,硅
140,515,60,油
140,532,58,铜
141,29,58,铁
141,39,60,铜
141,96,58,铜
141,98,60,宝
141,100,58,油
141,105,60,硅
141,140,60,宝
141,156,58,铜
141,179,60,硅
141,252,58,宝
141,263,58,铜
141,298,60,铜
141,327,60,铜
141,351,58,铜
141,483,58,油
141,495,58,宝
141,502,60,宝
141,510,58,铁
141,525,58,油
141,557,58,宝
141,565,60,铁
141,581,60,铜
142,47,58,宝
142,52,60,油
142,59,60,油
142,63,60,铜
142,79,58,宝
142,111,58,宝
142,148,58,铜
142,158,58,铜
142,192,60,铜
142,208,58,宝
142,226,58,铜
142,236,60,宝
142,397,58,宝
142,452,58,硅
142,583,60,铜
143,23,60,硅
143,36,60,油
143,46,60,宝
143,83,58,铜
143,136,60,硅
143,140,58,铁
143,144,58,硅
143,224,60,硅
143,232,60,宝
143,255,58,铁
143,266,60,铜
143,339,58,铜
143,388,58,铜
143,394,60,油
143,403,60,硅
143,409,60,铜
143,414,60,宝
143,437,60,铁
143,444,60,铁
143,462,60,宝
143,496,60,油
143,507,60,硅
143,525,60,铜
143,557,58,铁
144,12,60,宝
144,15,58,宝
144,226,60,铜
144,243,60,油
144,263,60,油
144,280,58,铜
144,296,60,铁
144,321,58,宝
144,367,60,铜
144,397,58,铜
144,439,60,硅
144,470,60,油
144,510,60,硅
144,536,60,宝
144,589,60,铁
145,27,58,硅
145,108,58,铜
145,241,60,油
145,279,58,油
145,282,60,铜
145,284,58,铁
145,316,60,硅
145,325,58,硅
145,357,60,油
145,371,60,铜
145,379,58,铁
145,415,58,铜
145,492,60,油
145,496,58,油
145,497,58,油
145,501,58,油
145,531,60,宝
145,582,58,铁
146,26,58,铜
146,53,58,油
146,128,58,油
146,151,58,硅
146,176,58,宝
146,183,60,宝
146,229,58,硅
146,301,60,铜
146,413,58,铁
146,481,58,宝
146,491,60,油
146,541,58,油
146,552,58,宝
147,31,58,铁
147,82,58,宝
147,89,58,铁
147,90,58,铜
147,110,58,铜
147,132,60,硅
147,284,60,宝
147,303,60,铜
147,316,58,铁
147,367,58,铁
147,369,58,硅
148,73,58,铁
148,93,60,油
148,118,58,铜
148,128,60,铜
148,146,60,铜
148,148,60,宝
148,168,60,铜
148,185,60,铁
148,204,60,铁
148,208,60,铜
148,252,60,硅
148,334,60,铁
148,368,60,铁
148,411,58,铁
148,432,60,铁
148,501,58,铁
148,512,58,硅
148,525,58,硅
148,563,58,铜
148,586,60,宝
149,32,58,铁
149,65,60,铁
149,100,58,宝
149,117,58,铁
149,130,60,铜
149,139,58,铜
149,161,58,铁
149,185,58,油
149,210,62,硅
149,236,60,铜
149,300,62,硅
149,315,60,铁
149,328,58,宝
149,353,58,油
149,354,58,宝
149,383,58,铁
149,399,58,油
149,400,58,油
149,414,58,硅
149,436,60,铜
149,457,58,硅
149,463,60,铁
149,470,58,油
149,524,60,宝
149,546,60,铜
149,565,58,铜
