x,y,level,type
50,49,58,油
50,67,70,硅
50,72,60,铁
50,174,60,铁
50,188,60,铜
50,218,58,硅
50,224,58,铁
50,242,58,宝
50,269,58,宝
50,289,58,宝
50,386,60,铁
50,393,58,硅
50,465,58,油
50,480,60,铁
50,513,60,硅
50,566,60,宝
51,67,58,铁
51,69,60,铁
51,95,60,宝
51,126,58,铁
51,139,60,油
51,155,60,宝
51,163,58,铁
51,170,58,铜
51,197,58,宝
51,201,60,铁
51,211,58,硅
51,215,60,油
51,219,60,油
51,268,58,油
51,292,58,油
51,307,60,油
51,325,58,宝
51,342,58,硅
51,344,60,宝
51,358,60,硅
51,362,60,宝
51,435,58,铜
51,448,62,油
51,453,60,铁
51,454,60,宝
51,508,58,宝
51,537,58,硅
51,557,60,宝
51,584,58,铁
52,5,60,硅
52,10,60,油
52,74,60,铁
52,86,60,铁
52,168,60,铁
52,179,60,铁
52,192,60,宝
52,206,60,铜
52,215,60,宝
52,224,58,宝
52,262,58,铜
52,284,60,硅
52,322,60,铁
52,348,60,铁
52,355,58,宝
52,384,58,油
52,387,58,硅
52,552,58,铜
52,575,58,硅
52,580,60,宝
52,584,60,油
53,12,60,油
53,15,60,硅
53,52,60,硅
53,103,60,硅
53,105,60,铁
53,124,58,宝
53,143,60,宝
53,151,60,硅
53,156,60,铁
53,174,60,硅
53,219,58,铜
53,229,58,铁
53,244,58,宝
53,330,58,宝
53,364,60,硅
53,387,60,宝
53,390,58,铁
53,419,58,宝
53,437,60,铁
53,466,58,油
53,484,58,油
53,510,58,硅
53,514,58,铁
53,518,60,铁
53,529,60,油
53,551,58,铜
54,1,58,铁
54,48,66,硅
54,102,60,硅
54,113,58,硅
54,195,60,宝
54,213,60,油
54,221,58,铜
54,238,60,硅
54,246,58,硅
54,283,60,油
54,309,58,铜
54,337,60,铜
54,350,60,硅
54,369,60,宝
54,397,58,油
54,406,60,油
54,423,58,宝
54,519,58,铁
54,534,60,铜
54,553,58,铜
54,574,60,硅
54,596,58,铜
55,10,60,硅
55,78,60,铁
55,112,58,铜
55,129,58,油
55,134,58,铜
55,149,58,硅
55,151,58,宝
55,169,58,硅
55,171,58,油
55,183,58,铜
55,205,58,铜
55,207,58,硅
55,213,60,铁
55,264,58,油
55,311,58,铜
55,338,60,铁
55,366,60,铜
55,372,58,硅
55,384,58,铜
55,389,60,宝
55,400,58,油
55,407,58,铜
55,443,58,铁
55,463,58,铜
55,498,60,宝
55,533,58,铁
55,576,60,铜
55,595,60,铜
55,598,58,铜
56,11,60,铜
56,114,58,铜
56,127,58,硅
56,145,60,铁
56,157,58,油
56,185,58,铜
56,186,58,油
56,191,60,硅
56,195,60,油
56,313,58,硅
56,330,60,铜
56,368,60,铜
56,374,58,铜
56,489,58,硅
56,495,60,油
56,500,60,宝
56,572,60,铁
56,597,60,铜
57,19,58,铜
57,102,58,油
57,146,60,铁
57,158,60,铜
57,211,58,硅
57,243,58,油
57,279,58,油
57,283,58,油
57,329,58,油
57,332,60,铜
57,333,58,硅
57,340,60,铜
57,343,58,油
57,376,58,铜
57,379,60,硅
57,407,60,铜
57,420,60,铜
57,437,58,油
57,442,58,硅
57,592,60,宝
58,21,58,铜
58,39,58,铁
58,101,60,铜
58,160,60,铜
58,205,58,硅
58,269,60,宝
58,279,58,油
58,284,60,宝
58,291,60,油
58,292,60,铁
58,357,60,宝
58,422,60,铜
58,484,58,铁
58,523,60,油
58,528,58,铁
58,539,58,铁
59,11,60,油
59,16,58,油
59,63,60,铁
59,72,58,硅
59,90,58,宝
59,114,58,宝
59,139,58,硅
59,160,58,硅
59,207,60,油
59,225,60,铜
59,227,60,宝
59,233,58,宝
59,248,60,铜
59,255,58,硅
59,294,58,铜
59,320,64,硅
59,328,60,宝
59,348,58,油
59,357,60,油
59,361,60,硅
59,418,60,宝
59,429,58,宝
59,473,58,宝
59,484,60,铜
59,488,60,宝
59,492,58,宝
59,503,60,硅
